id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46830331,2020/05/15 8:05 AM EDT,2020-05-15,2020-05-15 12:05:00 UTC,Eastern Time (US & Canada),1228186,kblaney,2020-05-22 12:06:13 UTC,2020-06-22 01:26:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46830331,,https://static.inaturalist.org/sounds/93638.wav?1590149136,"",,1,0,false,,"Belleville, ON, Canada",44.2123409481,-77.3887131299,15,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46857387,2020/05/22 8:01 AM EDT,2020-05-22,2020-05-22 12:01:00 UTC,Eastern Time (US & Canada),2546069,bicke1359,2020-05-22 16:45:12 UTC,2020-05-23 15:50:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46857387,,https://static.inaturalist.org/sounds/93738.mp3?1590164338,"","An American Robin singing, with another faintly in the background",1,0,false,,"Brook Farm, Boston, MA, USA",42.2819688039,-71.1862399768,15,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46868530,2020/05/22 1:40 PM EDT,2020-05-22,2020-05-22 17:40:00 UTC,Eastern Time (US & Canada),12610,susanelliott,2020-05-22 18:11:01 UTC,2020-05-22 19:22:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46868530,,https://static.inaturalist.org/sounds/93850.wav?1590171029,"",,2,0,false,,"Heather Ln, Rutland, VT, USA",43.6288627939,-72.9398705735,8,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46893998,2020/05/08 9:52 AM EDT,2020-05-08,2020-05-08 13:52:00 UTC,Eastern Time (US & Canada),712253,sandykeller,2020-05-22 21:44:37 UTC,2020-05-23 00:02:27 UTC,research,,https://www.inaturalist.org/observations/46893998,,https://static.inaturalist.org/sounds/93975.wav?1590183797,"",,1,0,false,,"Haddon Township, NJ, USA",39.9059764551,-75.0679693347,240,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46904548,2020-05-22,2020-05-22,,Eastern Time (US & Canada),1477223,chey_conn,2020-05-22 23:25:47 UTC,2020-05-22 23:54:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46904548,,https://static.inaturalist.org/sounds/94041.m4a?1590189947,"","",1,0,false,,"Cadwell Loop Pittsford, VT",43.691785,-73.027989,88,,open,false,,manual,American Robin,Turdus migratorius,American Robin,Aves,12727
46910826,2020-05-22 5:26:10 PM PDT,2020-05-22,2020-05-23 00:26:10 UTC,Pacific Time (US & Canada),3012855,tesladarwin,2020-05-23 00:30:52 UTC,2020-05-23 16:03:32 UTC,research,,https://www.inaturalist.org/observations/46910826,https://static.inaturalist.org/photos/74396558/medium.jpeg?1590193855,https://static.inaturalist.org/sounds/94075.wav?1590193869,"",Sorry for the poor photo quality. It lives on the roof of my friend's neighbour's house.,3,1,false,2,"Victoria, BC V8V 3T5, Canada",48.4159633,-123.3594941,18,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46916480,2020-05-22 6:30:51 PM EDT,2020-05-22,2020-05-22 22:30:51 UTC,Eastern Time (US & Canada),3016488,amelialewis1,2020-05-23 01:35:07 UTC,2020-05-25 23:52:36 UTC,research,,https://www.inaturalist.org/observations/46916480,,https://static.inaturalist.org/sounds/94117.wav?1590197711,"",,1,0,false,2,"Lincoln Charter Township, MI, USA",42.0356581,-86.4927852,18,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46919769,2020/05/22 1:35 PM PDT,2020-05-22,2020-05-22 20:35:00 UTC,Pacific Time (US & Canada),459348,johndreynolds,2020-05-23 02:19:18 UTC,2020-05-28 04:05:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46919769,,https://static.inaturalist.org/sounds/94131.m4a?1590199282,"","Chilliwack River Provincial Park, BC
",1,0,false,,"Fraser Valley, BC, Canada",49.0800067785,-121.8847126784,15,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46949666,2020/05/23 7:48 AM ADT,2020-05-23,2020-05-23 10:48:00 UTC,Atlantic Time (Canada),2731784,binta,2020-05-23 10:55:19 UTC,2020-05-23 17:39:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46949666,,https://static.inaturalist.org/sounds/94324.m4a?1590230981,"",,1,0,false,,"Bathurst, NB, Canada",47.6271224132,-65.6688044789,31,,open,false,,,Merle d'Amérique,Turdus migratorius,American Robin,Aves,12727
46967392,2020/05/22 9:40 AM EDT,2020-05-22,2020-05-22 13:40:00 UTC,Eastern Time (US & Canada),3021231,peabodylynn,2020-05-23 14:13:06 UTC,2020-05-27 18:07:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/46967392,,https://static.inaturalist.org/sounds/94423.m4a?1590242888,"",,2,0,false,,Yale West Campus Building 900 Courtyard,41.2599365654,-72.9882287991,37,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
