id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38099156,2019/07/14 4:05 PM CEST,2019-07-14,2019-07-14 14:05:00 UTC,Paris,1409524,mobbini,2020-01-29 20:29:11 UTC,2020-01-30 18:09:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38099156,,https://static.inaturalist.org/sounds/45274.mp3?1565446123,"",in the backgrpund,1,0,false,,"Balgstädt, Deutschland",51.1971309629,11.7492704602,15,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
38367526,2020-02-06 12:17:53 PM PST,2020-02-06,2020-02-06 12:17:53 UTC,UTC,808842,hikensee,2020-02-06 20:21:50 UTC,2020-02-08 18:00:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38367526,,https://static.inaturalist.org/sounds/57085.wav?1581020514,"",audio only,1,0,false,2,"Poway, CA, USA",33.0139198,-117.0303073,1299,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
38552283,2020-02-11 12:36:10 PM PST,2020-02-11,2020-02-11 20:36:10 UTC,Pacific Time (US & Canada),1171290,aromatisse,2020-02-11 23:32:03 UTC,2020-03-05 05:50:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/38552283,,https://static.inaturalist.org/sounds/57550.wav?1581463946,"",Is that a raven?,1,0,false,2,"Camp Long, Seattle, WA, USA",47.5551291162,-122.3750956357,229,,open,false,gps,gps,Common Raven,Corvus corax,Common Raven,Aves,8010
39486840,2020-03-03 9:14:02 AM GMT+01:00,2020-03-03,2020-03-03 08:14:02 UTC,Amsterdam,1014980,jstraka,2020-03-03 10:55:19 UTC,2020-05-02 17:06:01 UTC,research,,https://www.inaturalist.org/observations/39486840,https://static.inaturalist.org/photos/62751880/medium.jpeg?1583358263,https://static.inaturalist.org/sounds/59723.wav?1583232924,"",Audio recording and photo are of same individual (seemed to be interacting with distant Common Raven).,2,0,false,2,"Borgarbyggð, IS-VL, IS",64.53813711,-21.92657683,7,,open,false,,,Corvus corax varius,Corvus corax varius,,Aves,721983
39503446,2020/01/18 11:40 AM GMT,2020-01-18,2020-01-18 11:40:00 UTC,Edinburgh,1527518,a_emmerson,2020-03-03 21:06:47 UTC,2020-03-03 21:49:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/39503446,https://static.inaturalist.org/photos/62682475/medium.jpeg?1583269145,https://static.inaturalist.org/sounds/59830.wav?1583269193,"",,2,0,false,,"Cheshire West and Chester, UK",53.2548291203,-3.0343063516,15,,open,false,,,Corvus corax corax,Corvus corax corax,,Aves,721978
39594086,2020/02/23 3:32 PM EST,2020-02-23,2020-02-23 20:32:00 UTC,Eastern Time (US & Canada),521996,brennafarrell,2020-03-06 01:41:56 UTC,2020-03-25 13:20:48 UTC,research,,https://www.inaturalist.org/observations/39594086,,https://static.inaturalist.org/sounds/60198.mp3?1583458657,"",,1,0,false,,"Montgomery County, PA, USA",40.1490142093,-75.2262041386,30,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
39706998,2020/03/05 7:44 AM PST,2020-03-05,2020-03-05 15:44:00 UTC,Pacific Time (US & Canada),397632,dswight,2020-03-08 17:13:48 UTC,2020-03-30 19:27:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39706998,,https://static.inaturalist.org/sounds/60611.wav?1583687325,"",Raven wing beats directly overhead with one croak.  Also heard at 3:00AM coming in from the west. Bewick's Wren and Western Bluebird also vocalizing.,1,0,false,,"Junpier Campground Mount Daiblo SP, Contra Costa County, CA, USA",37.8780388749,-121.9338521964,31,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
40029311,2020-03-15 9:30:51 AM PDT,2020-03-15,2020-03-15 16:30:51 UTC,Pacific Time (US & Canada),564659,chrismarten,2020-03-15 16:32:16 UTC,2020-03-22 16:25:21 UTC,research,,https://www.inaturalist.org/observations/40029311,https://static.inaturalist.org/photos/63571139/medium.jpeg?1584290277,https://static.inaturalist.org/sounds/61817.wav?1584289946,"",,2,0,false,2,"Vineyard, Glendale, CA, USA",34.149988,-118.2592626,22,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
40112340,2020-02-22 2:30:06 PM PST,2020-02-22,2020-02-22 22:30:06 UTC,Pacific Time (US & Canada),571907,tom_okey,2020-03-17 02:39:17 UTC,2020-04-04 04:51:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40112340,,https://static.inaturalist.org/sounds/62094.m4a?1584412761,"",,1,0,false,2,"Alert Bay, BC, Canada",50.5876582577,-126.9220092148,133,,open,false,gps,gps,Common Raven,Corvus corax,Common Raven,Aves,8010
40430475,2018/12/22,2018-12-22,,Central Time (US & Canada),375183,ehjalmarson,2020-03-22 00:39:47 UTC,2020-03-22 10:33:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40430475,,https://static.inaturalist.org/sounds/63113.wav?1584837566,"",,1,0,false,,"Elcho, WI 54428, USA",45.4349158,-89.1835167,384,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
40986560,2019/06/01,2019-06-01,,Central Time (US & Canada),375183,ehjalmarson,2020-03-29 20:18:13 UTC,2020-03-29 20:19:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40986560,,https://static.inaturalist.org/sounds/65174.wav?1585513010,"",,1,0,false,,Coon Fork County Park,44.6919802418,-91.0170291387,522,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
